path,title,molar_mass,molar_volume,formation_gibbs,formation_enthalpy,reference_entropy,reference_spec_heat,coef_a,coef_b,coef_c,track
/species/scolecite,CaAl2Si3O10:3H2O,392.337,172.3,-5597980.0,-6049000.0,367.42,382.81,135.19,830.53,0.0,"95rob/hem,Internal calculation,83joh/flo"
/species/arsenocrandallite,CaAl3(AsO4)2(OH)5:H2O,501.913,nan,-4887010.0,nan,nan,nan,nan,nan,nan,93sch/got
/species/woodhouseite,CaAl3(PO4)(SO4)(OH)6,414.102,nan,-5269000.0,nan,nan,nan,nan,nan,nan,04gab/vie
/species/crandallite,CaAl3(PO4)2(OH)5:H2O,414.017,138.0,-5592750.0,nan,nan,nan,nan,nan,nan,"63wyc,79vie/tar"
/species/caalhpo426h2o,CaAlH(PO4)2:6H2O,366.102,nan,-4819275.0,nan,nan,nan,nan,nan,nan,64atay/gur
/species/aragonite,CaCO3,100.087,34.15,-1128154.0,-1207780.0,87.99,82.32,82.32,0.0,0.0,"78hel/del|82plu/bus,Internal calculation,87gar/par"
/species/calcite,CaCO3,100.087,36.934,-1129109.0,-1207605.0,91.78,83.47,99.72,26.92,-21.58,"78hel/del|82plu/bus,06bla/pia,Internal calculation,82plu/bus,95rob/hem"
/species/vaterite,CaCO3,100.087,37.63,-1125799.0,-1203300.0,95.12,nan,nan,nan,nan,"95rob/hem,Internal calculation,87gar/par"
/species/monohydrocalcite,CaCO3:H2O,118.102,48.7,-1361226.0,-1498290.0,128.599,nan,nan,nan,nan,"95rob/hem,73hul/tur,Internal calculation"
/species/hydroxichloridecah2o,CaCl(OH):H2O,110.553,nan,-1093515.0,-1218131.0,136.34,140.7,98.62,90.05,13.54,"06bod/las,Internal calculation"
/species/hydrophilite,CaCl2,110.983,50.75,-748789.0,-795390.0,108.37,72.83,79.78,-0.47,-6.05,"95rob/hem,Internal calculation,87gar/par"
/species/cacl22h2o,CaCl2:2H2O,147.013,91.875,-1244146.0,-1404030.0,194.93,nan,nan,nan,nan,"63wyc,Internal calculation,87gar/par"
/species/cacl24h2o,CaCl2:4H2O,183.044,98.9,-1733240.0,-2009170.0,272.22,nan,nan,nan,nan,"03dea,Internal calculation,87gar/par"
