AT,C,Mn,Cu,Si,Ni,Cr,Mo,V,Al,W,N,Co,t,T
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,7368.28695,742.84943
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,8260.74204,744.34519
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,9475.49912,745.65398
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,11777.99591,748.84606
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,13105.33574,749.95945
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,14886.78956,750.70171
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,17204.18359,751.62953
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,20019.77241,753.48518
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,23457.2044,754.04187
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,27015.51475,754.78413
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,30793.72089,755.15526
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,34382.30159,755.34082
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,38257.0693,756.82534
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,44060.42607,757.56759
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,50569.61684,757.93872
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,58040.43165,757.93872
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,75409.9196,759.05211
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,85366.08238,759.79437
1000,0.11,0.49,0.0,0.45,0.13,12.0,0.02,0.02,0.0,0.0,0.0,0.0,96636.72976,759.42324
